"num";"region";"country"
"1";"AUSTRIA";"YES"
"2";"BOŚNIA I HERCEGOWINA";"YES"
"3";"BUŁGARIA";"YES"
"5";"CHORWACJA";"YES"
"6";"CYPR";"YES"
"8";"CZARNOGORA";"YES"
"9";"CZECHY";"YES"
"10";"DOMINIKANA";"YES"
"11";"EGIPT";"YES"
"13";"FRANCJA";"YES"
"14";"GRECJA";"YES"
"15";"HISZPANIA";"YES"
"18";"JAMAJKA";"YES"
"19";"KENIA";"YES"
"21";"KUBA";"YES"
"22";"LITWA";"YES"
"24";"MALEDIWY";"YES"
"26";"MALTA";"YES"
"27";"MAROKO";"YES"
"28";"MAURITIUS";"YES"
"29";"MEKSYK";"YES"
"31";"PORTUGALIA";"YES"
"32";"RUMUNIA";"YES"
"34";"SINGAPUR";"YES"
"36";"SRI LANKA";"YES"
"38";"TUNEZJA";"YES"
"39";"TURCJA";"YES"
"40";"UKRAINA";"YES"
"41";"WĘGRY";"YES"
"42";"WENEZUELA";"YES"
"44";"WŁOCHY";"YES"
"47";"BRAZYLIA";"YES"
"49";"TAJLANDIA";"YES"
"50";"BIRMA";"YES"
"51";"KAMBODZA";"YES"
"54";"ISRAEL";"YES"
"55";"JORDANIA";"YES"
"56";"DANIA";"YES"
"58";"NIEMCY";"YES"
"59";"POLSKA";"YES"
"61";"SŁOWACJA";"YES"
"62";"SZWAJCARIA";"YES"
"64";"SENEGAL";"YES"
"65";"ESTONIA";"YES"
"67";"ROSJA";"YES"
"197";"CHINY";"YES"
"243";"INDIE";"YES"
"244";"PERU";"YES"
"248";"JAPONIA";"YES"
"263";"SŁOWENIA";"YES"
"284";"HOLANDIA";"YES"
"285";"BELGIA";"YES"
"286";"ISLANDIA";"YES"
"288";"ANGLIA";"YES"
"290";"SZKOCJA";"YES"
"291";"IRLANDIA";"YES"
"370";"GAMBIA";"YES"
"372";"EMIRATY ARABSKIE";"YES"
"411";"AUSTRALIA";"YES"
"412";"ETIOPIA";"YES"
"413";"INDONEZJA";"YES"
"414";"KANADA";"YES"
"415";"KOREA POŁUDNIOWA";"YES"
"416";"KOSTARYKA";"YES"
"417";"NOWA ZELANDIA";"YES"
"418";"ZAMBIA";"YES"
"421";"MAROCCO";"YES"
"448";"ANDORA";"YES"
"772";"PLAYA PARAISO";"YES"
"776";"PUERTO RICO";"YES"
"801";"REPUBLIKA ZIELONEGO PRZYLĄDKA";"YES"
"2187";"FINLANDIA";"YES"
"2285";"ARGENTYNA";"YES"
"2391";"NORWEGIA";"YES"
"2499";"CHILE";"YES"
"2500";"PANAMA";"YES"
"2501";"REUNION";"YES"
"2598";"REPUBLIKA POŁUDNIOWEJ AFRYKI";"YES"
"2599";"MALEZJA";"YES"
"2602";"NAMIBIA";"YES"
"2603";"FILIPINY";"YES"
"2607";"MADAGASKAR";"YES"
"2925";"SESZELE";"YES"
"2988";"POLINEZJA FRANCUSKA";"YES"
"2989";"TANZANIA";"YES"
"2991";"SZWECJA";"YES"
"3012";"BERMUDY";"YES"
"3018";"BAHAMY";"YES"
"3020";"KOLUMBIA";"YES"
"3022";"KARAIBY";"YES"
"3025";"BOTSWANA";"YES"
"3026";"ANTARKTYDA";"YES"
"3027";"IRAN";"YES"
"3028";"NEPAL";"YES"
"3029";"UGANDA";"YES"
"3030";"WIETNAM";"YES"
"3225";"MALAWI";"YES"
"3247";"MOZAMBIK";"YES"
"3248";"KAZACHSTAN";"YES"
"3269";"ALBANIA";"YES"
"3294";"WYSPY COOKA";"YES"
"3295";"EKWADOR";"YES"
"3329";"GWATEMALA";"YES"
"3414";"SERBIA";"YES"
"3443";"ARMENIA";"YES"
"3444";"MALI";"YES"
"3488";"BHUTAN";"YES"
"3500";"LIECHTENSTEIN";"YES"
"3629";"STANY ZJEDNOCZONE";"YES"
"3647";"UZBEKISTAN";"YES"
"3693";"REJS";"YES"
"3911";"LIBAN";"YES"
"3914";"RWANDA";"YES"
"4219";"GRUZJA";"YES"
"4221";"FIJI";"YES"
"4517";"BOLIWIA";"YES"
"4534";"OMAN";"YES"
"4599";"ALGIERIA";"YES"
"5683";"KORFU";"YES"
"5764";"MACEDONIA";"YES"
"5767";"BIAŁORUŚ";"YES"
"5786";"GHANA";"YES"
"5787";"KAMERUN";"YES"
"5788";"JEMEN";"YES"
"5789";"KONGO DEMOKRATYCZNE";"YES"
"5796";"KOREAŃSKA REPUBLIKA LUDOWA";"YES"
"5821";"MAURETANIA";"YES"
"5822";"ZIMBABWE";"YES"
"5831";"LUKSEMBURG";"YES"
"6098";"BELIZE";"YES"
"6121";"ŁOTWA";"YES"
"6193";"PHI PHI ISLAND";"YES"
"6204";"LANZAROTE";"YES"
"6217";"EMILIA ROMAGNA";"YES"
"7191";"BONIFACIO";"YES"
"7201";"SOLENZARA";"YES"
"7451";"BADALONA";"YES"
"7562";"COSTA TEGUISE";"YES"
"7563";"PUERTO DEL CARMEN";"YES"
"7565";"PLAYA BLANCA";"YES"
"7684";"CALVI";"YES"
"7687";"PORTO";"YES"
"7771";"SAN DONATO IN FRONZANO";"YES"
"7822";"COGOLETO";"YES"
"8320";"LUCCA";"YES"
"8325";"IMPRUNETA";"YES"
"8789";"DESENZANO";"YES"
"8917";"NORTH MALE ATOLL";"YES"
"8938";"MEEMU ATOLL";"YES"
"9184";"CASTIGLIONCELLO";"YES"
"9206";"SYDNEY";"YES"
"10829";"MAGLIANO IN TOSCANA (GR.)";"YES"
"37863";"TRYNIDAD I TOBAGO";"YES"
"38441";"KATAR";"YES"
"38464";"SUAZI";"YES"
"38527";"TAJWAN";"YES"
"38531";"SURINAM";"YES"
"38657";"WYSPY MARSHALLA";"YES"
"38679";"BITEZ";"YES"
"38688";"PORTO VECCHIO CEDEX";"YES"
"38720";"WALIA";"YES"
"38721";"IRLANDIA PÓ?NOCNA";"YES"
"38797";"KSI?STWO MONAKO";"YES"
"39157";"RUSSIA";"YES"
"39164";"REPUBBLICA CECA";"YES"
"39166";"SPAGNA";"YES"
"39168";"GRAN BRETAGNA";"YES"
"39172";"PAESI BASSI";"YES"
"39174";"SLOVACCHIA";"YES"
"39175";"TURCHIA";"YES"
"39549";"INDONESIA";"YES"
"40041";"NOWA KALEDONIA";"YES"
"40523";"RPA (+ WYCIECZKA DO SUAZI)";"YES"
"40950";"WLOCHY-VAL DI FASSA";"YES"
"41123";"MONTENERO (LI)";"YES"
"41128";"AUSTRIA-SŁOWENIA-CHO";"YES"
"41134";"ETIOPIA ( PÓŁNOC I POŁUDNIE )";"YES"
"41135";"ETIOPIA - SZLAK HISTORYCZNY";"YES"
"41145";"MEKSYK-WYPOCZYNEK W ACAPULCO";"YES"
"41160";"MESSICO";"YES"
"41161";"EGITTO";"YES"
"41219";"AITUTAKI";"YES"
"41236";"ISRAELE";"YES"
"41248";"DA NEW YORK";"YES"
"41266";"LONDRA";"YES"
"41347";"ETIOPIA ( + GÓRY SEMIEN I PARK NECHISAR)";"YES"
"41444";"BITEZ-BODRUM";"YES"
"41446";"WENEZUELA (+ ARCHIPELAG LOS ROQUES)";"YES"
"1";"ABU DHABI";"NO"
"2";"AGADIR";"NO"
"3";"ALANYA";"NO"
"13";"ANDALUZJA";"NO"
"14";"ANTALYA";"NO"
"17";"AYIA NAPA";"NO"
"20";"BALI";"NO"
"21";"BANGKOK";"NO"
"23";"BELEK";"NO"
"25";"BODRUM";"NO"
"31";"CANCUN";"NO"
"39";"COSTA BRAVA";"NO"
"40";"COSTA DEL SOL";"NO"
"43";"CZECHY";"NO"
"44";"DALMACJA";"NO"
"45";"DJERBA";"NO"
"46";"DUBAJ";"NO"
"49";"FRANCJA";"NO"
"50";"FUERTEVENTURA";"NO"
"55";"GRAN CANARIA";"NO"
"57";"HAMMAMET";"NO"
"63";"HONGKONG";"NO"
"64";"HURGHADA";"NO"
"65";"ISTRIA";"NO"
"73";"KEMER";"NO"
"83";"KORFU";"NO"
"84";"KOS";"NO"
"87";"RABAT";"NO"
"89";"KRETA";"NO"
"91";"KUALA LUMPUR";"NO"
"92";"KVARNER";"NO"
"93";"LANZAROTE";"NO"
"94";"LARNAKA";"NO"
"100";"LIMASSOL";"NO"
"103";"LWOW";"NO"
"104";"MAHDIA";"NO"
"105";"MAJORKA";"NO"
"112";"MALTA";"NO"
"115";"MAURITIUS";"NO"
"117";"MONASTIR";"NO"
"119";"MONTEGO BAY";"NO"
"122";"NEUM";"NO"
"127";"PAPHOS";"NO"
"138";"PORTUGALIA";"NO"
"144";"PUERTO PLATA";"NO"
"145";"ALTAGRACIA";"NO"
"149";"RIWIERA OLIMPIJSKA";"NO"
"150";"RODOS";"NO"
"152";"SALONIKI";"NO"
"154";"SHARM EL SHEIKH";"NO"
"156";"SIDE";"NO"
"168";"PORT EL KANTAOUI";"NO"
"175";"SYCYLIA";"NO"
"176";"TENERYFA";"NO"
"177";"THASSOS";"NO"
"179";"TUNIS";"NO"
"182";"VARADERO";"NO"
"187";"WIEDEŃ I OKOLICE";"NO"
"191";"ZŁOTE PIASKI";"NO"
"193";"DAHAB";"NO"
"196";"MARMARIS";"NO"
"200";"SŁONECZNY BRZEG";"NO"
"203";"TABA";"NO"
"205";"WYBRZEŻE POŁUDNIOWE";"NO"
"228";"MARSA ALAM";"NO"
"615";"POMORZE";"NO"
"713";"PLAYA PARAISO";"NO"
"724";"NEGRIL";"NO"
"727";"PLAYA DEL CARMEN";"NO"
"837";"SOFIA";"NO"
"918";"PLAYA BLANCA";"NO"
"927";"PUERTO DEL CARMEN";"NO"
"950";"KARYNTIA";"NO"
"957";"WILNO";"NO"
"1066";"ZAKYNTHOS";"NO"
"1084";"NISKIE TATRY";"NO"
"1090";"POLSKA";"NO"
"1102";"WALLIS";"NO"
"1104";"WYSOKIE TATRY";"NO"
"1109";"BALATON";"NO"
"1139";"COSTA DE LA LUZ";"NO"
"1143";"MAROKO";"NO"
"1201";"GRAUBUNDEN";"NO"
"1208";"TYROL";"NO"
"1210";"WYSPA HVAR";"NO"
"1212";"WYSPA KRK";"NO"
"1213";"WYSPA PAG";"NO"
"1219";"LOMBARDIA";"NO"
"1220";"PIEMONT";"NO"
"1223";"RIWIERA ADRIATYCKA";"NO"
"1227";"TRENTINO";"NO"
"1235";"WYSPA KORCULA";"NO"
"1247";"WYSPA RAB";"NO"
"1259";"TOSKANIA";"NO"
"1260";"VENETO";"NO"
"1273";"SARDYNIA";"NO"
"1274";"JEZIORO GARDA";"NO"
"1279";"KALABRIA";"NO"
"1304";"WYBRZEŻE PÓŁNOCNE";"NO"
"1321";"ALGARVE";"NO"
"1324";"CHALKIDIKI";"NO"
"1332";"RIWIERA TURECKA";"NO"
"1356";"MARCHE";"NO"
"1373";"FORTALEZA";"NO"
"1389";"WŁOCHY";"NO"
"1402";"BERLIN";"NO"
"1406";"AUSTRIA";"NO"
"1411";"";"NO"
"1421";"DALAMAN";"NO"
"1424";"SANTO DOMINGO";"NO"
"1447";"ALPY FRANCUSKIE";"NO"
"1448";"ATENY";"NO"
"1450";"RZYM";"NO"
"1451";"AMSTERDAM";"NO"
"1454";"BRUKSELA";"NO"
"1458";"KUSADASI";"NO"
"1463";"BUDAPESZT";"NO"
"1474";"BARCELONA";"NO"
"1475";"PIRENEJE";"NO"
"1478";"LONDYN";"NO"
"1479";"EDYNBURG";"NO"
"1491";"LIZBONA";"NO"
"1492";"MADRYT";"NO"
"1493";"PELOPONEZ";"NO"
"1494";"UMBRIA";"NO"
"1496";"DUBLIN";"NO"
"1499";"RIWIERA CZARNOGORSKA";"NO"
"1507";"NEAPOL";"NO"
"1538";"WYSPA BRAC";"NO"
"1539";"WYSPA MURTER";"NO"
"1554";"DRAMALJ";"NO"
"1597";"WENECJA";"NO"
"1677";"DESENZANO";"NO"
"1682";"WYSPA UGLJAN";"NO"
"1716";"CHORWACJA ŚRODKOWA";"NO"
"1717";"CZECHY RODKOWE";"NO"
"1720";"WĘGRY RODKOWE";"NO"
"1740";"KAMPANIA";"NO"
"1748";"DALMACJA PÓŁNOCNA";"NO"
"1749";"DALMACJA POŁUDNIOWA";"NO"
"1753";"SŁOWENIA";"NO"
"1772";"ABRUZJA";"NO"
"1776";"MADERA";"NO"
"1792";"AGIOS SOSTIS";"NO"
"1799";"PARYŻ";"NO"
"1845";"AMMAN";"NO"
"1857";"BRATYSŁAWA";"NO"
"1858";"LAZIO";"NO"
"1859";"RIWIERA SŁOWEŃSKA";"NO"
"2010";"ERMONES";"NO"
"2057";"KATALONIA";"NO"
"2059";"APULIA";"NO"
"2063";"COSTA BLANCA";"NO"
"2064";"COSTA DORADO";"NO"
"2065";"HAWANA";"NO"
"2066";"LAZUROWE WYBRZEŻE";"NO"
"2068";"WYBRZEŻE MORZA CZARNEGO";"NO"
"2070";"WYSPY KANARYJSKIE";"NO"
"2144";"ARUBA";"NO"
"2148";"MEXICO CITY";"NO"
"2160";"FUJAIRAH";"NO"
"2170";"RAS AL KHAIMAH";"NO"
"2186";"HELSINKI";"NO"
"2197";"PRAGA";"NO"
"2292";"GÓRNA AUSTRIA";"NO"
"2301";"WYSPA DUGI";"NO"
"2302";"EVIA";"NO"
"2313";"MORZE MARTWE";"NO"
"2318";"DOLNA AUSTRIA";"NO"
"2320";"STYRIA";"NO"
"2338";"GALICJA";"NO"
"2345";"KARAIBY";"NO"
"2347";"RIWIERA MEKSYKANSKA";"NO"
"2358";"WYBRZEŻE LIGURYJSKIE";"NO"
"2366";"SŁOWENIA ŚRODKOWA";"NO"
"2375";"JEROZOLIMA";"NO"
"2377";"WYSPA CRES";"NO"
"2390";"NORWEGIA";"NO"
"2422";"WYSPA MLJET";"NO"
"2435";"ADRIATYK";"NO"
"2436";"COSTA AZAHAR";"NO"
"2442";"BESKIDY";"NO"
"2444";"MORZE BAŁTYCKIE";"NO"
"2448";"GARGANO";"NO"
"2506";"REUNION";"NO"
"2507";"ACAPULCO";"NO"
"2508";"PUERTO VALLARTA";"NO"
"2510";"WYSPA MARGARITA";"NO"
"2519";"SAO PAULO";"NO"
"2522";"AZJA";"NO"
"2528";"SHARJAH";"NO"
"2531";"WARSZAWA";"NO"
"2541";"GOA";"NO"
"2544";"BUENOS AIRES";"NO"
"2546";"NOWY JORK";"NO"
"2548";"PODLASIE";"NO"
"2553";"ALASKA";"NO"
"2555";"OCEAN SPOKOJNY";"NO"
"2585";"BITEZ";"NO"
"2618";"KUJAWY";"NO"
"2624";"IBIZA";"NO"
"2625";"LA PALMA";"NO"
"2626";"MAŁOPOLSKA";"NO"
"2631";"MORZE CZERWONE";"NO"
"2635";"LA GOMERA";"NO"
"2653";"WYBRZEŻE LIZBOŃSKIE";"NO"
"2695";"TATRY";"NO"
"2697";"DOLINA AOSTY";"NO"
"2718";"VORARLBERG";"NO"
"2729";"JOHANNESBURG";"NO"
"2731";"FLORYDA";"NO"
"2732";"HAWAJE";"NO"
"2733";"KALIFORNIA";"NO"
"2735";"MASSACHUSETTS";"NO"
"2741";"CZECHY POŁUDNIOWE";"NO"
"2784";"NAIROBI";"NO"
"2788";"KAPSZTAD";"NO"
"2789";"TEL AVIV";"NO"
"2819";"PEKIN";"NO"
"2834";"SAN JOSE";"NO"
"2855";"PIENINY";"NO"
"2879";"MEDIOLAN";"NO"
"2893";"SAMANA";"NO"
"2910";"ZANZIBAR";"NO"
"2925";"SEYCHELLES";"NO"
"2954";"GUANACASTE";"NO"
"2969";"RIO DE JANEIRO";"NO"
"2972";"MORAWY";"NO"
"2978";"KRYM";"NO"
"2980";"SANTORINI";"NO"
"2998";"RUDAWY";"NO"
"3000";"SZUMAWY";"NO"
"3009";"KANAŁ PANAMSKI";"NO"
"3010";"MORZE SRODZIEMNE";"NO"
"3032";"WARMIA I MAZURY";"NO"
"3048";"AMERYKA POLUDNIOWA";"NO"
"3049";"EUROPA POŁNOCNA";"NO"
"3065";"FIORDY NORWESKIE";"NO"
"3075";"WYCIECZKA OBJAZDOWA";"NO"
"3085";"SINGAPUR";"NO"
"3114";"BARBADOS";"NO"
"3116";"BONAIRE";"NO"
"3117";"CURACAO";"NO"
"3121";"ST. LUCIA";"NO"
"3129";"ANTIGUA";"NO"
"3137";"AUSTRALIA I NOWA ZELANDIA";"NO"
"3140";"TANZANIA";"NO"
"3155";"TRANSATLANTYK";"NO"
"3160";"CANBERRA";"NO"
"3167";"SYDNEY";"NO"
"3226";"NAMIBIA";"NO"
"3272";"EPIRUS";"NO"
"3291";"AZORY";"NO"
"3293";"DOLNA SAKSONIA";"NO"
"3295";"JUKATAN";"NO"
"3297";"BORNEO";"NO"
"3320";"KARAIBY WSCHODNIE";"NO"
"3326";"ISTAMBUŁ";"NO"
"3328";"SEUL";"NO"
"3332";"TAHITI";"NO"
"3334";"WIELKA FATRA";"NO"
"3339";"TRNAWA";"NO"
"3343";"BAWARIA";"NO"
"3344";"ATTYKA";"NO"
"3369";"WYSPA COCHE";"NO"
"3377";"BORA BORA";"NO"
"3380";"NICEA";"NO"
"3382";"HAINAN";"NO"
"3386";"KARAIBY POŁUDNIOWE";"NO"
"3389";"WĘGRY PÓŁNOCNE";"NO"
"3390";"BRANDENBURGIA";"NO"
"3395";"FINLANDIA";"NO"
"3404";"BAHIA";"NO"
"3410";"INNE";"NO"
"3412";"SAKSONIA";"NO"
"3431";"SZANGHAJ";"NO"
"3443";"EJLAT";"NO"
"3474";"ALASKA I KANADA";"NO"
"3484";"OSLO";"NO"
"3485";"KOPENHAGA";"NO"
"3486";"SZTOKHOLM";"NO"
"3492";"ALPY SŁOWEŃSKIE";"NO"
"3534";"MENORCA";"NO"
"3544";"PORTO";"NO"
"3555";"SAL";"NO"
"3577";"BADEN";"NO"
"3600";"CZESKIE KARKONOSZE";"NO"
"3604";"ZATOKA BISKAJSKA";"NO"
"3634";"AUSTRALIA POŁUDNIOWA";"NO"
"3635";"AUSTRALIA ZACHODNIA";"NO"
"3637";"NOWA POŁUDNIOWA WALIA";"NO"
"3638";"QUEENSLAND";"NO"
"3639";"TASMANIA";"NO"
"3640";"TERYTORIUM PÓŁNOCNE";"NO"
"3641";"VICTORIA";"NO"
"3648";"TROPICAL ISLANDS";"NO"
"3652";"DOLNY ŚLŠSK";"NO"
"3653";"ŚRODKOWA JUTLANDIA";"NO"
"3676";"FIORDY I NORDKAPP";"NO"
"3699";"CESME";"NO"
"3700";"MINORKA";"NO"
"3720";"ALPY BAWARSKIE";"NO"
"3750";"WYSPA ELBA";"NO"
"3758";"PODKARPACIE";"NO"
"3761";"KANADA I NOWA ANGLIA";"NO"
"3762";"NATAL";"NO"
"3769";"BRETANIA";"NO"
"3777";"REYKJAVIK";"NO"
"3781";"SUDETY";"NO"
"3783";"SANKT PETERSBURG";"NO"
"3785";"BIESZCZADY";"NO"
"3808";"POMORZE ZACHODNIE";"NO"
"3809";"JEZIORO COMER";"NO"
"3810";"JEZIORO ISEO";"NO"
"3868";"MONAKO";"NO"
"3874";"COSTA VERDE";"NO"
"3941";"HOLGUIN";"NO"
"3973";"KARLOVE VARY";"NO"
"3974";"RIVIERA MAYA";"NO"
"3985";"CZESKA SZWAJCARIA";"NO"
"3989";"JESENIKI";"NO"
"4014";"MEKLEMBURGIA";"NO"
"4023";"BESKIDY SŁOWACKIE";"NO"
"4026";"ZIEMIA SALZBURSKA";"NO"
"4028";"MAŁA FATRA";"NO"
"4034";"OCEAN INDYJSKI";"NO"
"4100";"WYSPA MALTA";"NO"
"4103";"WYSPA GOZO";"NO"
"4104";"ZACHODNIA PROWINCJA";"NO"
"4105";"POŁUDNIOWA PROWINCJA";"NO"
"4110";"MOSKWA";"NO"
"4117";"CIEGO DE AVILA";"NO"
"4126";"DISCOVERY BAY";"NO"
"4130";"WYSPA MAHE";"NO"
"4131";"WYSPA SILHOUETTE";"NO"
"4132";"VISAYAS";"NO"
"4133";"WYSPA PRASLIN";"NO"
"4135";"WYSPA LA DIGUE";"NO"
"4136";"PUNTARENAS";"NO"
"4137";"MOOREA-MAIAO";"NO"
"4147";"AITUTAKI";"NO"
"4150";"PANAMA PÓŁNOCNA";"NO"
"4151";"PANAMA POŁUDNIOWA";"NO"
"4153";"RAROTONGA";"NO"
"4164";"GÓRY IZERSKIE";"NO"
"4180";"ZATOKA AKABA";"NO"
"4183";"BERNER OBERLAND";"NO"
"4185";"CENTRALNA SZWAJCARIA";"NO"
"4186";"TESSIN";"NO"
"4187";"VALLNORD";"NO"
"4210";"LAPONIA";"NO"
"4228";"ORAWA";"NO"
"4231";"CENTRALNA SŁOWACJA";"NO"
"4232";"MARRAKESZ";"NO"
"4235";"NADDUNAJSKA DOLINA";"NO"
"4248";"BAND?UL";"NO"
"4249";"BORNHOLM";"NO"
"4259";"MAIN ISLAND";"NO"
"4260";"NEW PROVIDENCE";"NO"
"4261";"TUAMOTU";"NO"
"4263";"KIJÓW";"NO"
"4264";"BUKOWINA";"NO"
"4266";"GWADELUPA";"NO"
